State;mean_income;unemployment
AK;41350;3.1
AL;56140;4.6
AR;47680;3.6
AZ;39060;3.4
CA;54030;5.3
CO;54050;3.7
CT;56130;4.4
DC;49280;3.9
DE;45070;5.2
FL;45480;3.3
GA;50510;3.1
HI;44240;3.1
IA;48730;3.3
ID;45470;4.8
IL;46460;3.6
IN;45250;2.8
KS;43730;2.8
KY;41320;4.6
LA;47590;4.3
MA;55810;3.1
MD;60690;2.6
ME;46940;2.9
MI;50880;3.9
MN;37500;2.7
MO;45080;2.8
MS;45690;3.4
MT;46440;3.1
NC;44810;2.5
ND;49980;5.1
NE;54860;2.6
NH;43620;4.7
NJ;56840;3.8
NM;45440;4.2
NV;48830;3.5
NY;46690;2
OH;41480;4
OK;50010;3.5
OR;47430;4.2
PA;50970;3.4
RI;42220;4.1
SC;43680;3.2
SD;43820;2
TN;45970;3.1
TX;47020;4
UT;49630;2.8
VA;49920;2.1
VT;59920;2.8
WA;39770;4.8
WI;47590;4.3
WV;47250;2.9
WY;48500;2.8

